Example,customer_text,amazon_reply,Suggested Intent,human_intent,label_notes
46,@AmazonHelp Customer care helpless. No answers except prod cut will be delivered,"@319704 I'm sorry for the ordeal you've had to go through. I'd like to assist you with this, kindly drop in your details 1/3 ^EM",Customer Support / Escalation,,
47,"@ AmazonFR paid for 22 quantities of VR Headset received confirmation, but only 1 delivered","@762842 Hello, sorry for that. Since we don't have access to your account from Twitter, please reach our CS in order to check that for you._x000D_
^ARC",Delivery Issue,,
48,"@AmazonHelp The advisor said it was a duplicated order and they'd resolve it, but it's still showing ... https://t.co/ilOLeYn8J7","@182725 Thanks for the update. To confirm that this has been resolved, please contact us here: https://t.co/bDe2KyL3RU ^SE",Order Status,,
49,@115850  https://t.co/JaLEb3OG0B,@384979 We cross-checked and the app seems to be running fine. Try back in sometime and keep us posted. ^CB,Other,,
50,@115850 @115850 I am expecting a quick response,@438881 Please use the following link to connect with our support team : https://t.co/vlvfJr4nN9 and we'll be glad to help. ^SK,Other,,
51,"@AmazonHelp Gestionado por Amazon._x000D_
Vendido por: Amazon EU S.a.r.L.",@174523 Entra en contacto con Soporte al Cliente para reportar lo que indicas de tu pedido: https://t.co/OjvUxwnzPe. ^DA,Other,,
52,"@118919 Madharchod amajon wale randi ke aaulad madharcho mera paisa fasaya helpline numbe bhi nhi lag rha _x000D_
Bhut jaldi honewala hai patan india se",@215940 link here: https://t.co/TxK11znixD and we will assist you further. (2/2)^HR,Customer Support / Escalation,,
53,@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,"@206017 Apologies for the delay, I'd like to look into this, kindly drop in your details here:https://t.co/beaaDm0muc and 1/2 ^EM",Technical Issue,,
54,@AmazonHelp Ah dommage je n'achèterais pas alors. Vous ne savez pas si vous en aurez à nouveau en stock ? (vu que ce sont les nouveaux ipad pro).,@150780 Nous n'avons malheureusement pas de visibilité dessus pour l'instant. Restez connectée :) ce sera mis à jour dès qu'il y a du nouveau.,Product / Seller,,
55,@AmazonHelp 406-6963082-7457947 order number ! I am a prime customer and this service is really a joke,@450944 Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP,Order Status,,
56,@115821 wanna tell me why the order I placed yesterday w/1-day shipping isn’t scheduled 2 arrive until Wed? GRANDDAUGHTER B-DAY &amp; u SUCK,@441383 I'm sorry for the wait. Some items aren't able to ship immediately. Was the date given on the confirmation e-mail missed? ^AN,Order Status,,
57,@AmazonHelp A claim and escalated. Then the same bs email about how more info is needed and the seller hasn’t received the item. Horrible customer serv.,@129194 I'm sorry for the A-to-z issues. I'd like our team to look into this. Please send us order info here: https://t.co/Z3sF5pyYG5 ^BE,Delivery Issue,,
58,How’s my Thursday going? Well my amazon account got hacked and was charged $900... &amp; I’m honestly impressed bc I didn’t know I had $900,@425297 I'm sorry to hear about the unexpected charge! Please call us to ensure this is reported: https://t.co/jzvkhdlrK5 ^LR,Account / Login,,
59,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,Other,,
60,Hello @115821 where the heck is the cat tree I ordered for my cat’s birthday. It was supposed to be here yesterday,@255380 Sorry to hear it has not arrived Jenna. Does the tracking give any info on when we expect it to be delivered? You can check tracking by clicking the link: https://t.co/Y5jpI9gRhE.^BZ,Order Status,,
61,"Hi._x000D_
https://t.co/GzF9Py9bXZ","@782772 Hello, how may I help you? ^AH",Other,,
62,@115830 really annoying Mr at this stage can't get a single issue resolved. Can I please have a contact number for customer service in Ireland,@262359 We definitely don't want to disappoint you. You can contact us via phone by using this link: https://t.co/JzP7hlA23B ^KB,Customer Support / Escalation,,
63,割と長い期間Amazonのプライム会員だけど、本の読み放題あるの今知った。,@671966 Amazonプライムをご利用いただき、ありがとうございます。様々な特典がございますので、ぜひご活用ください！ https://t.co/k5lbncHlKO EK,Other,,
64,@115821 your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?,"@396878 That's certainly not the experience we want for our customers. To escalate this, please fill out: https://t.co/YR1ZlJwzJJ ^BE",Product / Seller,,
65,@AmazonHelp Dans ce cas annulez ma commande et remboursez moi,@753784 Vous avez la possibilité d'annuler une commande depuis votre compte via: https://t.co/9Bgwmkd3v3 ou en contactant notre SAV ^KE,Other,,
66,@115830 I've just received an email from you saying I need click on a link to get a credit voucher. Is this spam? I can dm a copy.,@192721 Doesn't sound like us Tamara - pls use this link for more info : https://t.co/0SSkUeJucf  ^TD,Payment / Charges,,
67,"So if you lost my #kindle how exactly was it returned @115821, Also why do you think my home is a business. Also, why did you say I was closed because today is a holiday? Do I owe myself holiday pay? #Curious https://t.co/ig2otyw5Lw",@680444 I'm sorry to see it was returned. We'd be happy to look into this with you here: https://t.co/EKXRLsnxJu ^AF,Refund / Return,,
68,"@AmazonHelp Non, comment faire et pourquoi?","@509971 N'ayant pas accès à votre compte via Twitter, notre SAV est disponible pour vous aider via ce lien: https://t.co/qzuu0dgDXz ^ASZ",Other,,
69,@AmazonHelp I've ordered through Amazon.. The product was received by the courier.. But they've said that they can't deliver to my home..,@___Ananth___ That's uncertain! Please report this to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll help you. ^BS,Delivery Issue,,
70,"@118919 can you provide an assistance regarding a product i ordered because i received an email to review on the product when in fact it has not been delivered to me. The expected date of delivery mentioned was 28Nov, no attempts for delivery whatsoever",@133292 Apologies for the delay. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? We'd like to check this for you. ^RB,Product / Seller,,
71,@AmazonHelp No. it just diappears.,"@293194 We don't have a notification for the shopping list. If you place an order with unavailable items, you'll receive an e-mail. ^AC",Technical Issue,,
72,"@116313 →Kindle版も絶賛おススメ！_x000D_
見開きページのビジュアルが見事です。_x000D_
紙媒体だとページのあいだ、いわゆるノド？にあたるところで画像がどうしてもすこし難ありのなりますが、2ページ見開き掲載スタイルにすると画面いっぱいにー_x000D_
つよぽんのーごろさんのーしんごのー_x000D_
素晴らしい｡ﾟ(ﾟ´Д｀ﾟ)ﾟ｡","@143572 Kindle版でお読みいただきありがとうございます！_x000D_
ぜひいつでも、何度でもお楽しみください👏😍　MH",Digital Content,,
73,@115850 How come the prce of Sandisk microsd crd wth adaptor priced in ur 'Lightning Deal' as 649 bcomes 739 at chkout wth normal delivery,@174216 That's strange. Please reach out to us at: https://t.co/vlvfJr4nN9 we'll check it for you. ^AU,Payment / Charges,,
74,"@AmazonHelp Hello Team, Return order request has not been done yet. Please help. Urgent..",@214881 Apologies for any trouble. Have you tried reporting this to our support team here: https://t.co/2t6DQoUmNZ ? ^AB,Refund / Return,,
75,"@AmazonHelp Hi. Sorry late getting back, I had an email on 22/07/17 stating that auto renew was turned off and no further payments would be taken.",@314332 We'd like to take a closer look at the charges and your available options. Please contact us here: https://t.co/JzP7hlA23B ^RA,Delivery Issue,,
76,"@AmazonHelp Nope. Just takes me to sign in page. I just won't buy anything but books/dvds anymore. They're cheap. If I can't return,no big loss.","@306845 Once you sign in using the link sent by JO, you will see the option to select the issue and how you want to contact us. ^DD",Refund / Return,,
77,@AmazonHelp I guess you asking me wasn't to actually help me. Maybe it was just to make the appearance of helping me?,"@800073 Unfortunately we do not have access to your account or details via Twitter, but we'd still like to help! Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this together.  -Shal C.",Technical Issue,,
78,"@AmazonHelp #facepalm cookies and cache do not create issues like that, those look like placeholder tokens that were not replaced when the page was rendered. I'd suggest you have your developers look into this, I am fairly sure they will find references to the tokens in the source code.","@804864 Are you able to see if the A-Z claim was submitted before you received the error message? If not, you can contact us here and we'll be glad to assist: https://t.co/hApLpMlfHN ^FJ",Technical Issue,,
79,@AmazonHelp I have shared the details .please have a look.,@344227 Thanks for letting us know that you've shared your details. Please allow us some time and we'll reach out to you. ^KA,Other,,
80,@115850 @AmazonHelp I had ordered OnePlus5 on 28th June ‘17. I still haven’t receivedcashback of Rs. 1500 (SBI card offer). Please help!!! https://t.co/227y7N6DdC,@293719 I'm sorry for the delay. Please report this to our support team here: https://t.co/2t6DQoUmNZ for further assistance. ^RW,Payment / Charges,,
81,@115821 are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw,"@315479 To confirm, has your account been closed or has it been locked pending account information verification? ^EZ",Account / Login,,
82,What's the point of subscribing to @115830 Prime if it keeps failing to meet its one day delivery promise? Then being told to wait another few days for it to turn up. Rubbish.,@527527 I'm sorry for the delay. We want to make sure you receive your order by your new delivery date. Please keep us posted. ^RA,Delivery Issue,,
83,"@AmazonHelp I will never advise any of my known people to buy a single thing from Amazon. Even it's offered for free. Really absurd, arrogant attitude.",@350255 placing an order. Request you to wait until the time frame mentioned for the order. (2/2) ^GK,Other,,
84,Kitten TV on @116439 🐱🐱🐱 https://t.co/tmvlpcnbJ1,@808529 That's a purrfect shot! ^LS,Other,,
85,"Just received my copy of #AnOrdinaryLife , thanks @115821 for Super fast delivery and really can't wait to start reading it @77379 https://t.co/cYFCPRFJEI",@414839 We knew you would be eager to get your hands on it. Seems like an interesting read. Dig in!! ^AB,Other,,
86,"@AmazonHelp Ist aktiviert, funktioniert aber nicht. Heute wieder 2x😩  Kam bisher nur 1x an, bei einer Bestellung von Amazon USA. Geht auch anderen so. 🙁","@215529 Dann, wie vorgeschlagen, bitte im Kundenservice melden: https://t.co/cDHy5WiCek Liebe Grüße ^MF",Other,,
87,@116875 hola me pueden ayudar a hacer una corrección en una factura de un producto que ya recibí?,"@172353 Hola Mario, para esta gestión debes contactar a nuestro Servicio al Cliente con este enlace: https://t.co/beR78zMMYB . ^MB",Product / Seller,,
88,"@AmazonHelp @115850 Can I know why the pickup is cancelled??_x000D_
I am done with this bullshit despite you guys apologizing for yesterday's behavior._x000D_
Call me. https://t.co/l6JqgynyH0","@120780 As this is a social media platform, we can't view your order details. Please share your (1/2)^HR",Customer Support / Escalation,,
89,"@AmazonHelp Gonna have to return another thing now, 3rd thing in the last 2 months","@669710 This certainly isn't what we like to here! Without giving any personal information, will you tell us more about the items you've been receiving? Are you noticing a trend? ^HC",Refund / Return,,
90,Way to go @115821 for just throwing my stuff in a box with no packing material and with everything out of the wrappers. #goodjob https://t.co/lVMo6vFahI,@797126 We're always looking for ways to improve! Packaging feedback can be submitted to our shipping team here: https://t.co/2AGESmC8t0 ^ML,Delivery Issue,,
91,"@116618 can you please let us buffer the video? I let the web page open for an hour, hoping the little HD icon would light up, in vain. I don't wanna watch content in 360p under the pretense that my internet connection is too slow for 1080p stream without buffer.","@720103 Thanks for reaching out. We're here to help! Have you tried the troubleshooting steps listed here: https://t.co/HePT2g8air _x000D_
_x000D_
-Susan T.",Digital Content,,
92,"@115821 @119356 @AmazonHelp @115851 @209576 Is there anyone who is really concerned abt their customers?  Desperately looking for positive solution. I m not getting any Email response too. Extremely disappointing. Instead of postmorteming the issue, give me the replacement of goods..🙏🙏",@209575 Request you to revert to our email correspondence that you have received on your registered email ID here: https://t.co/NTkrxpsbHJ with further query on this and we'll be happy to take it over from there. (2/2)^SF,Refund / Return,,
93,@115850 till now i have no confirmation about order even though guaranteed delivery !!,@191577 Apologies for the trouble. Please drop your details here: https://t.co/0tMJUecoz6 we'll connect with you on this. ^RB,Delivery Issue,,
94,When nothing you’ve ordered on #AmazonPrime in the past month has actually arrived in two-days. Am I seriously the only one? @115821 https://t.co/Jy0Bin02Cr,"@715852 This isn't what we like to hear! Just to confirm, are the orders missing the delivery dates provided: https://t.co/Y5jpI9gRhE?  ^EP",Order Status,,
95,@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,@230457 Have you checked your emails to see if there was an email update? I would recommend checking the spam folders as well as the inbox.^BZ,Customer Support / Escalation,,
96,"@AmazonHelp Bonjour, possible d'avoir des nouvelles d'un colis qui n'arrive pas en point relais colis ?","@219318 Bonjour, que dit le suivi de ce dernier ?^AR",Other,,
97,@AmazonHelp You did it again. Received wrong product today sixth time..  #nowords @AmazonHelp,@467065 I'm sorry you've received a wrong product. Could you confirm if you've shared the details through the link provided earlier? ^AP,Product / Seller,,
98,@115821 don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤,@229000 I'm sorry to hear about this! Have you received an e-mail regarding any type of delay? ^VB,Delivery Issue,,
99,@AmazonHelp (ಠ_ಠ) Didnt realize your couriers needed reminders about basic fire safety.,@808782 Please contact us here via phone or chat so we can look into this with you: https://t.co/dNXwBZPiM6 ^GG,Delivery Issue,,
100,@AmazonHelp pls pls pls tell me you'll have music unlimited BF deals for EXISTING customers (uk),@152464 Best to keep an eye on the website for the latest deals! ^MI,Other,,
101,@AmazonHelp Fuck u then why the hell u r having @AmazonHelp Twitter handle,@210361 Usually the products are delivered by the estimated delivery date. Could you let me know if we've missed it? ^AU,Other,,
102,@AmazonHelp But can not understand the cause of delay,@393025 Kindly revert to the correspondence which you have received from us and we will assist you further. ^SM,Delivery Issue,,
103,"@115850 my package is to be delivered today. Have a flight in evening, and I am here at location only for the next two hours. Please help!","@491794 I understand the importance of the order. However, we deliver orders till 8 PM if the product is (1/2) ^GK",Delivery Issue,,
104,@115850 Stop posting shit. You sold be a defective product and doesn't give a damn about  issue. #biycottAmazon #fakeamazon #disappointing services,@626603 here: https://t.co/GIJyeYqKE0 and I'll reach out to you. 2/2 ^MM,Technical Issue,,
105,@AmazonHelp It is getting increasingly annoying to figure out when a Prime item will be delivered.,@690878 Sorry to hear Ilya. What delivery date were you provided? What does the latest tracking advise? ^TP,Product / Seller,,
106,@AmazonHelp Had email with £40 off a Kindle. Website won't allow the code says it's expired.,@691785 Sorry to hear about the issue you're having. Is there info in the email about the date that the offer is available until? There may be Terms &amp; Conditions in the email to advise this. ^ES,Digital Content,,
107,@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,"@623202 Give us a call, Chelsey, and we'll get this taken care of for you. Here's a link to help:  https://t.co/JzP7hlA23B ^EM",Delivery Issue,,
108,@AmazonHelp Pl tell me delivery date,@185376 We've sent you a correspondence here: https://t.co/ubzNHWZvL2 Kindly check. ^SG,Order Status,,
109,@AmazonHelp Easy set up and the ability to send messages/make phone calls with voice recognition 👍🏻 thanks @115821,"@688597 Top feedback Michael, Have a great day! ^BD",Customer Support / Escalation,,
110,"@AmazonHelp Yea, same day delivery didn’t get delivered TWICE. After leaving delivery instructions, even though even when I haven’t I usually get a phone call. Also my previous package with 2 day delivery was a day late. What’s the point in being a prime member?","@799756 Thank you for that information! To better assist you, could you please let us know from which of our marketplaces were these orders placed? https://t.co/nUUp5MLhYl, https://t.co/ykTUEmdsQA, etc. ^RB",Delivery Issue,,
111,"@115850 Whats the point giving code which never works and give error ""This property is not participating in the offer"" -Lucky Winner of Amazon Great Indian Festival 2017",@635873 We would like to understand the issue in a better way. Kindly elaborate on the concern for us. ^CB,Technical Issue,,
112,@119959 @115828 I preordered this game 14 months ago just to be sent it for the wrong console. FML... https://t.co/EMBHygMbOL,@520984 I'm sorry for the mix-up! Please contact us so we can look into this and review options: https://t.co/hApLpMlfHN ^WT,Product / Seller,,
113,@AmazonHelp Realmente eso es lo más importante y no la pérdida de mi pedido? Podéis pedirme por privado el número de seguimiento y así poder ayudarme creo.....,"@266929 No lo es, Laura. Nuestra intención no es molestarte, pero desde este departamento no tenemos acceso a tu cuenta, por lo que necesitamos algunos datos para poder ayudarte. _x000D_
^ES",Other,,
114,@AmazonHelp How long it will take can you please deliver it now.,@216204 Now might not be probable. We'll be reverting shortly with further updates. Kindly wait until we reach out. Thanks! ^AB,Other,,
115,"@AmazonHelp My card was already charged, but the status says ""shipping soon"". I am concerned that if my order hasn't even been shipped, then how will it be delivered by the date Amazon sets? But I will wait until the 10th to see if my order gets home.","@558450 We aim to meet our delivery date. If you don't receive your package on estimated delivery date, please get back to us. ^LH",Payment / Charges,,
116,"@AmazonHelp What exactly do you want me to do? That just takes me to your ""questions?"" Page… _x000D_
I don't have a question. It is a reoccurring complaint. https://t.co/Hrg68liFcR","@816241 The link provided to you by ^WT, gives you the option to contact us by phone, so we can look into this with you in real time. This gives us the opportunity to review all available options regarding your deliveries.  ^AC",Customer Support / Escalation,,
117,@AmazonHelp already been on the phone to customer support still fuming with you cancelling my prime membership disgusting behaviour,"@187547 Thanks for confirming. When you spoke to us, what options/information did we provide? ^BH",Prime Membership,,
118,@AmazonHelp It was amazon. AMZL US,@251434 We want to investigate this further with you. Please reach out to us using this secure link: https://t.co/Qzpl2PoJVc ^GR,Other,,
119,@115850 Trying to reach amazon customer care since last two weeks regarding order 408-3616751-7832318. Tried through email and call but no response. Tried in app help but no relevant option. I pm my number to you to call me regarding the issue.,"@140392 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",Technical Issue,,
120,"@115850 Need help, with the status on two refunds. Been a month already since I sent the shipment back. Thanks.","@495001 Did you happen to report this to our support team? If not, do report it here: https://t.co/vlvfJr4nN9 (2/2) ^GD",Refund / Return,,
121,"@AmazonHelp Just spoke with your representative and found him 'rude' which is 'silly', and never expected this from the professionals like u @115850",@344471 The resolution we provide is the best possible solution. I'm afraid (1/2)^HR,Customer Support / Escalation,,
122,@AmazonHelp Nope. They cancelled the one that was supposed to arrive 10/7. And will try to get the next subscription order out.,@317905 I hope it arrives OK next time. ^KM,Order Status,,
